time/time_elapsed,time/iterations,time/fps,time/total_timesteps,reward,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl
2138,83,46,99600,2459.664253487818,0.001,-0.00041599182252169593,0.0,0.01223081350326538,25870.43359375,0.2,-1.435875204205513,1.0175487995147705,495626.056640625,820,0.00046278202
2164,84,46,100800,2369.1065470811523,0.001,-0.00012984112792467176,0.0,0.17864525318145752,30379.435546875,0.2,-1.4343210270007452,1.013677716255188,330694.60170898435,830,0.00024383499
2189,85,46,102000,1791.1751819915073,0.001,-0.00021935207928443687,0.0,0.20818060636520386,60559.57421875,0.2,-1.4365532979369164,1.0219708681106567,199273.92215983072,840,0.00024644073
2215,86,46,103200,1274.8256424003255,0.001,-0.0003941771669001337,0.0,0.12401378154754639,244327.15625,0.2,-1.4412742778658867,1.0230046510696411,397362.12145996094,850,0.0003974672
2240,87,46,104400,1245.9452544372245,0.001,-0.00284496890028176,0.008166666484127443,0.2110493779182434,38122.08984375,0.2,-1.4385260899861654,1.0170817375183105,219559.61459960937,860,0.0021725115
2265,88,46,105600,1758.6226126150586,0.001,-0.0005631744640742417,0.0054999998770654205,0.2063773274421692,10880.505859375,0.2,-1.435957182943821,1.0163692235946655,209678.13512776693,870,0.003356398
2291,89,46,106800,2533.232217350897,0.001,-0.0014429627205766239,0.013916666340082883,0.5213441550731659,12298.205078125,0.2,-1.436443710823854,1.0174996852874756,24908.64139404297,880,0.0023839988
2316,90,46,108000,3261.296731685807,0.001,2.6413647168658608e-05,0.0,0.14259403944015503,576414.5625,0.2,-1.4368193874756494,1.018517255783081,307470.2915730794,890,7.209957e-05
2341,91,46,109200,3841.1143587497395,0.001,-0.002942775312891251,0.024583332737286887,0.7491190135478973,6937.81005859375,0.2,-1.4315838803847631,1.0100536346435547,15881.585965983073,900,0.0038950648
2367,92,46,110400,4120.879884812764,0.001,-0.0002004842375645799,0.0,0.14511722326278687,86520.078125,0.2,-1.4285129671295484,1.0081372261047363,396785.6853515625,910,8.746385e-05
2392,93,46,111600,3843.8812299083097,0.001,-0.00011717064794430539,0.0,0.0716480016708374,16289.5693359375,0.2,-1.42728754033645,1.0093863010406494,323345.33520914713,920,3.90997e-05
2416,94,46,112800,303.3929749878436,0.001,8.289082248020829e-05,0.0,0.11825573444366455,13687.8017578125,0.2,-1.4289398511250815,1.009951114654541,323839.1043782552,930,1.866122e-06
2441,95,46,114000,843.2713409336812,0.001,-0.0028482244487492295,0.007749999826774001,0.1785476803779602,266380.46875,0.2,-1.4289995814363161,1.0085089206695557,217037.8811401367,940,0.002076502
2466,96,46,115200,1132.0784108576427,0.001,-0.0009714780578604716,0.0,0.15048718452453613,389097.28125,0.2,-1.4254429290692012,1.004841923713684,524411.2774902344,950,0.00057612784
2490,97,46,116400,921.5726405900349,0.001,-6.104430546556294e-05,0.0,0.2825393080711365,29107.951171875,0.2,-1.422125240166982,1.002646803855896,135302.80791829427,960,3.4144967e-05
2516,98,46,117600,368.00124372344146,0.001,-0.00047113195230864916,0.014249999588355423,0.1826075315475464,266757.125,0.2,-1.4219695195555686,1.0036416053771973,206099.11878255208,970,0.0040376415
2540,99,46,118800,816.7397395837257,0.001,-0.0018799422879770507,0.004999999888241291,0.1415734887123108,130056.046875,0.2,-1.4193707580367725,0.997746467590332,572258.175374349,980,0.0019200206
2566,100,46,120000,1224.9377797171485,0.001,-0.0007786317848873884,0.0007499999832361936,0.30159837007522583,27837.697265625,0.2,-1.4140282293160757,0.9938253164291382,195825.02487386068,990,0.0008869066
2591,101,46,121200,1917.6888820045097,0.001,1.8259748632761437e-05,0.0,0.36500000953674316,221770.296875,0.2,-1.4140453721086184,0.9955236315727234,202956.10340983074,1000,0.00014310807
2617,102,46,122400,2405.315828555651,0.001,-0.0002815071408226973,0.0,0.5859509408473969,12008.0615234375,0.2,-1.4203687146306039,1.0089068412780762,28637.435026041665,1010,0.00032824054
2643,103,46,123600,2560.0181707082825,0.001,-0.0005958542787117641,0.00041666665735344094,0.0706128478050232,236856.59375,0.2,-1.4300721178452174,1.012055516242981,300142.48693033855,1020,0.00093481777
2667,104,46,124800,2528.889876618225,0.001,-0.004577229686008348,0.026833332624907294,0.1339210867881775,173747.953125,0.2,-1.4300116216142973,1.0107040405273438,374757.6043782552,1030,0.0039785523
2691,105,46,126000,2510.6410513628703,0.001,-0.005164869623354471,0.04558333205059171,0.6237909495830536,10948.3505859375,0.2,-1.422130787372589,0.9948565363883972,20947.236971028648,1040,0.004536114
2716,106,46,127200,2762.301973833722,0.001,-0.0006018460987263552,0.0005833333202948173,0.5847143530845642,13147.830078125,0.2,-1.4078904658555984,0.9830920696258545,30400.73405761719,1050,0.0012592429
2740,107,46,128400,3260.4832977986816,0.001,-0.0031824739818359983,0.0265833326925834,0.46576446294784546,11969.9033203125,0.2,-1.401257115105788,0.9804845452308655,19734.44430745443,1060,0.002836476
2765,108,46,129600,3903.204356157439,0.001,-0.0019738939488312735,0.02141666617244482,0.11112648248672485,106126.9453125,0.2,-1.3982070043683053,0.9792979955673218,196364.52545979817,1070,0.0036821694
2789,109,46,130800,4343.302628792955,0.001,-0.00038679900890959594,0.00041666665735344094,0.6467194259166718,8621.115234375,0.2,-1.3946949526667596,0.9739923477172852,18378.276509602863,1080,0.0013780893
2814,110,46,132000,4918.820858709474,0.001,-0.0024219828890206054,0.01774999952564637,0.3162185549736023,11420.3994140625,0.2,-1.395624894897143,0.9763614535331726,99961.41984863281,1090,0.0017796066
2838,111,46,133200,5511.723035553681,0.001,-0.0016821864592817908,0.00091666664617757,0.21820563077926636,215971.65625,0.2,-1.3933370659748714,0.9733326435089111,254668.23868408203,1100,0.001149339
2862,112,46,134400,5842.259704018985,0.001,-0.0006572045221151586,0.00183333329235514,0.7164789736270905,13656.521484375,0.2,-1.3936591496070225,0.9754573702812195,25434.317838541665,1110,0.0018610284
2889,113,46,135600,5798.321512976641,0.001,-0.0026194598709273543,0.01874999951881667,0.3192760944366455,6570.82373046875,0.2,-1.3911852955818176,0.9682605266571045,124547.96232299805,1120,0.0024171665
2913,114,46,136800,5637.327046974473,0.001,-0.00042508033001718013,0.0010833333091189465,0.06776905059814453,206516.9375,0.2,-1.3867175380388896,0.9686673879623413,515233.74039713544,1130,0.0017815888
2938,115,46,138000,5618.528084792348,0.001,-0.0015344021551233415,0.009499999787658453,0.34597766399383545,14234.9267578125,0.2,-1.385906424621741,0.9661765694618225,30958.765580240884,1140,0.0021442773
2962,116,46,139200,405.43971504369375,0.001,-0.0017666714819481863,0.009499999787658453,0.12668222188949585,67491.1953125,0.2,-1.3831306462486586,0.9636691212654114,272160.14609375,1150,0.0024844252
2988,117,46,140400,1040.768021120012,0.001,-0.001366192946783403,0.009583333088085056,0.4479224681854248,5937.453125,0.2,-1.3798846860726675,0.9574550986289978,17319.67353922526,1160,0.0030023132
3012,118,47,141600,1773.6926954378073,0.001,-0.000155748900555408,0.002666666607062022,0.15261083841323853,71399.625,0.2,-1.3797482699155807,0.9670017957687378,169814.66607462565,1170,0.0006805593
3039,119,46,142800,2231.9432399156435,0.001,-0.0011501813430513153,0.00016666666294137638,0.5628606379032135,9382.0,0.2,-1.3733924542864164,0.9440321922302246,18114.237377929687,1180,0.00055444246
3065,120,46,144000,2666.489916812918,0.001,-0.002077621756096811,0.0016666666294137638,0.10145670175552368,567893.4375,0.2,-1.360722806553046,0.9432401061058044,657149.2696940104,1190,0.0014647646
