time/total_timesteps,reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/std,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
88800,1089.4495260259073,1844,48,74,730,29107.473358662923,0.7417448163032532,0.001,11573.353515625,-0.0011521553660495565,0.005833333202948173,0.14339107275009155,0.2,-1.1182963053385417,0.0019504133
90000,1060.0840260690525,1868,48,75,740,20490.32945912679,0.746948778629303,0.001,1759.5875244140625,-0.0019611635468313572,0.016249999590218066,0.18189197778701782,0.2,-1.1240520884593328,0.0032673758
91200,979.0702076069571,1893,48,76,750,3067.87524617513,0.7375434041023254,0.001,806.752685546875,-0.0037058280123176985,0.025166666088625788,0.4944987893104553,0.2,-1.1204065933823586,0.0043153544
92400,972.7577060454395,1918,48,77,760,14676.858286031087,0.7333629727363586,0.001,857.3049926757812,-0.003763370005455139,0.03199999912952383,0.24677640199661255,0.2,-1.1104311267534892,0.0048744194
93600,1240.6639152470984,1944,48,78,770,18983.656270853677,0.7307727932929993,0.001,1611.4586181640625,-0.0007831401217431052,0.00016666666294137638,0.13986361026763916,0.2,-1.106924219429493,0.0011905647
94800,1771.365457579095,1969,48,79,780,29482.247435506186,0.7307734489440918,0.001,28543.646484375,-0.0008343628450476537,0.0,0.07950848340988159,0.2,-1.1051123688618343,0.00039994763
96000,2494.654963978178,1994,48,80,790,19464.19143931071,0.7290948629379272,0.001,6337.10791015625,7.503247120436522e-06,0.0019999999552965165,-0.007902383804321289,0.2,-1.1038665428757668,0.0018219153
97200,3290.58004650941,2019,48,81,800,11312.381766255696,0.7325237989425659,0.001,10185.166015625,-0.0009349217552720187,0.008999999798834323,0.188889741897583,0.2,-1.1046693275372188,0.001850071
98400,4070.239504608341,2044,48,82,810,7953.93532816569,0.7165572047233582,0.001,625.6153564453125,-0.0028637911957506055,0.03666666586262484,0.175223708152771,0.2,-1.0997090131044387,0.0055949227
99600,4846.194010221101,2070,48,83,820,10632.193528874715,0.7088304758071899,0.001,296.8083801269531,-0.003292635277714758,0.019583332849045596,-0.0014749765396118164,0.2,-1.080279316008091,0.0018406421
100800,5638.899259030651,2094,48,84,830,28701.362313334146,0.7076232433319092,0.001,19523.607421875,-0.00125335980318505,0.00458333323088785,-0.030373573303222656,0.2,-1.0728029171625773,0.001821339
102000,6387.966421918783,2119,48,85,840,10349.575221761068,0.6900460720062256,0.001,15153.7041015625,-0.002373319043473961,0.0091666664617757,0.049555301666259766,0.2,-1.0584466512004533,0.0033447156
103200,7112.171483311144,2143,48,86,850,12375.238610331218,0.69234299659729,0.001,6087.80908203125,-0.005009140666736737,0.042249998869374396,0.07743281126022339,0.2,-1.0491343225042025,0.0042193923
104400,7803.899468392273,2167,48,87,860,2408.1021105448403,0.704826831817627,0.001,638.0731811523438,-0.0063180907528476386,0.04224999888489644,0.486733078956604,0.2,-1.0579846973220508,0.0039435737
105600,8518.429193170647,2191,48,88,870,2171.912887573242,0.7183034420013428,0.001,585.7379150390625,-0.0020806354307666567,0.007999999821186066,0.5077452957630157,0.2,-1.080474699040254,0.00078445487
106800,9255.722750712926,2215,48,89,880,1918.0538970947266,0.6996561884880066,0.001,670.207275390625,-0.00483634244929596,0.027666665939614178,0.5192196369171143,0.2,-1.0736936072508494,0.0031900664
108000,461.5339363381041,2239,48,90,890,1065.4410238901773,0.6979548931121826,0.001,591.2317504882812,-0.004837423181485671,0.029166665952652694,0.29751235246658325,0.2,-1.0593653917312622,0.001724326
109200,984.220254295937,2265,48,91,900,12749.102386220296,0.693824291229248,0.001,5892.517578125,-0.0020318816227136273,0.01666666626309355,0.05284297466278076,0.2,-1.0564494262139001,0.0037998136
110400,1312.4265390654948,2290,48,92,910,31778.288080342612,0.6923232674598694,0.001,8111.67529296875,-0.0014119650678064385,0.0019999999552965165,0.09493714570999146,0.2,-1.0516695315639177,0.0023778586
111600,1641.4422161567343,2314,48,93,920,22421.84982655843,0.6976962685585022,0.001,10855.419921875,-0.0026637478916266,0.020249999531855186,0.1387534737586975,0.2,-1.055685884753863,0.0057233036
112800,2147.4229067100623,2339,48,94,930,1532.9273701985678,0.6778724193572998,0.001,569.372314453125,-0.002505612983958298,0.007666666495303313,0.33580344915390015,0.2,-1.0439639841516812,0.002492948
114000,2771.7820734177776,2364,48,95,940,12755.04853846232,0.6834682822227478,0.001,8265.68359375,-0.0018090010374796,0.006666666517655055,0.15815240144729614,0.2,-1.035785348713398,0.0019261753
115200,3526.51777168619,2389,48,96,950,18094.07700475057,0.680478036403656,0.001,7119.8388671875,-0.003425145294526407,0.02283333274535835,0.09517103433609009,0.2,-1.0355830560127894,0.0039917505
116400,4337.459198410904,2415,48,97,960,31528.027569580077,0.6867653131484985,0.001,6068.3046875,-0.0022827483897269,0.023666666091109314,0.13747715950012207,0.2,-1.0395572538177171,0.003420649
117600,5158.9458665404345,2440,48,98,970,19968.019243367515,0.6808701157569885,0.001,788.4989624023438,-0.0011647343499750311,0.010999999754130841,0.10884058475494385,0.2,-1.0406884854038556,0.0011336446
118800,5970.001039398125,2464,48,99,980,13432.490868123372,0.6750500202178955,0.001,3959.382080078125,-0.003499817870236107,0.044249998824670914,0.2979598641395569,0.2,-1.0292862509687741,0.006099422
120000,6772.639148883889,2489,48,100,990,9133.158030700684,0.6539494395256042,0.001,812.3409423828125,-0.0063917488484651844,0.047583332083498436,0.3052980899810791,0.2,-1.0076423409084478,0.0051168487
121200,7598.931508915123,2515,48,101,1000,9282.804189809163,0.6449464559555054,0.001,28590.037109375,-0.0024404138493300696,0.04499999883895119,0.33266836404800415,0.2,-0.9896920728186767,0.004171926
122400,8382.816338760003,2540,48,102,1010,31311.10724767049,0.6424751877784729,0.001,2474.65966796875,-0.002849099475003795,0.025249999404574435,0.1104615330696106,0.2,-0.9785570460061233,0.0024077364
123600,9193.659791543918,2565,48,103,1020,9416.84480527242,0.6356943845748901,0.001,785.0119018554688,-0.0027804893801908316,0.012166666379198433,0.2394353747367859,0.2,-0.9693112653990587,0.0016882172
124800,10021.114757869786,2589,48,104,1030,11464.020442708334,0.6235724091529846,0.001,815.2161254882812,-0.0006906515634327648,0.006249999860301614,0.25105077028274536,0.2,-0.960727296769619,0.001964377
126000,10825.697542419024,2613,48,105,1040,703.0347128550212,0.6238372921943665,0.001,361.1909484863281,-0.00658668081525593,0.06458333168799678,0.6900511980056763,0.2,-0.9417535612980524,0.0032041091
127200,11631.122417395454,2637,48,106,1050,621.7634026845296,0.6406520009040833,0.001,256.8834228515625,-0.005198726315349633,0.04574999874457717,0.7193151116371155,0.2,-0.9645432842274507,0.0044080676
128400,12417.986968670812,2662,48,107,1060,563.254883702596,0.6428422331809998,0.001,174.03997802734375,-0.003634584546737037,0.01758333290927112,0.6509434878826141,0.2,-0.9747586411734422,0.0027304452
129600,479.25878193173696,2686,48,108,1070,611.7085755666097,0.6349591612815857,0.001,316.99560546875,-0.007341959115358502,0.04216666553790371,0.6681002080440521,0.2,-0.9686715466280779,0.0052613406
130800,1058.7136016786787,2712,48,109,1080,12702.868687693279,0.6345533728599548,0.001,13017.9296875,-0.0023963549165152936,0.01191666640030841,0.1478549838066101,0.2,-0.9637179898718993,0.00208729
132000,1542.0893534029976,2737,48,110,1090,36480.27465311686,0.6346158385276794,0.001,47605.75,-0.0024820965874284098,0.029166665906086565,-0.0002104043960571289,0.2,-0.9637956957022349,0.0040610456
133200,2088.3194807215714,2761,48,111,1100,25694.81466064453,0.6316795349121094,0.001,2607.048095703125,-0.002242232053372088,0.006999999828015764,-0.12568438053131104,0.2,-0.9619203209877014,0.0016357815
134400,2728.9459090560895,2786,48,112,1110,1071.5912300109862,0.6206949949264526,0.001,446.644775390625,-0.006224425490805286,0.018583332917963467,-0.5575804710388184,0.2,-0.9502713633080323,0.003703518
135600,3426.1944730676055,2811,48,113,1120,12999.505521901448,0.6237276196479797,0.001,20452.841796875,-0.0008054171432315053,0.009166666430731614,0.0006996989250183105,0.2,-0.9449728516240915,0.0048551816
136800,4167.123429107754,2837,48,114,1130,17557.581305185955,0.6237920522689819,0.001,977.3327026367188,-0.0007079936368721358,0.008416666463017464,-0.021172285079956055,0.2,-0.9472854862610499,0.0007462843
138000,4941.030421669358,2863,48,115,1140,33815.08865610758,0.6217037439346313,0.001,5728.525390625,-0.0012995810069620954,0.00366666658471028,-0.012319445610046387,0.2,-0.9458318029840788,0.0010215482
139200,5733.944918020513,2888,48,116,1150,19039.154425557455,0.6112332344055176,0.001,17454.564453125,-0.003929800684045248,0.010333333086843291,0.06014317274093628,0.2,-0.935476013024648,0.002989798
140400,6570.145703907314,2912,48,117,1160,14197.606146240234,0.6145826578140259,0.001,3351.76611328125,-0.004375798819325912,0.04541666548078259,-0.027086734771728516,0.2,-0.9291216971973578,0.0043160175
141600,7387.9008283125695,2937,48,118,1170,8083.562967681884,0.6231062412261963,0.001,478.0657043457031,-0.0014482575674041986,0.01666666624757151,0.05888789892196655,0.2,-0.9409196925659974,0.0034431468
142800,8174.032018534797,2963,48,119,1180,10806.406656138102,0.6184266805648804,0.001,703.4461059570312,-0.002857162077708993,0.024166666017845274,-0.007444024085998535,0.2,-0.940356316914161,0.0019893507
144000,8956.688539632427,2988,48,120,1190,29946.358900705975,0.613822340965271,0.001,26015.53515625,-0.0026038697186777427,0.014916666317731142,-0.0008803606033325195,0.2,-0.9335596409936746,0.003219546
